l1, l2, l3
gę gę,baran,auto/samochód
hau hau,biedronka,autobus
ko ko ko,bocian,ciężarówka
kwa kwa,foka,helikopter
miau,gęś,koparka
mee/bee,gołąb,lokomotywa
muu[krowa],jeż,motor/motocykl
pi pi pi/ćwir ćwir,kaczka,pociąg
bam/bum/bęc,kogut,pogotowie/karetka
brrum brrum [auto],koń,rower
tik tak,kot,samolot
tralala/lalala,koza,statek
,krowa,traktor
,królik,tramwaj
,kura,
,kurczątko,
,lew,
,lis,
,małpa,
,miś/niedźwiedź,
,motylek,
,mrówka,
,mucha,
,myszka,
,pająk,
,pies,
,pingwin,
,ptaszek,
,robak,
,ryba,
,słoń,
,sowa,
,ślimak,
,świnka,
,tygrys,
,wąż,
,wiewiórka,
,wilk,
,zając,
,zwierzątko,
,żaba,
,żółw,
,żyrafa,
